Population,YearCollected,DayCollected,ChillingTime,Germinated
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
2,2006,191,0,Y
2,2006,191,0,Y
2,2006,191,0,Y
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
5,2009,161,0,Y
5,2009,161,0,Y
5,2009,161,0,Y
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
1,2007,138,0,Y
1,2007,138,0,Y
1,2007,138,0,Y
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
1,2007,138,0,Y
1,2007,138,0,Y
1,2007,138,0,Y
1,2007,138,0,Y
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
2,2006,191,0,Y
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
5,2009,161,0,Y
5,2009,161,0,Y
5,2009,161,0,Y
5,2009,161,0,Y
5,2009,161,0,Y
5,2009,161,0,Y
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
7,2008,204,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
11,2008,202,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
10,2008,198,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
3,2009,164,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
4,2009,162,0,N
5,2009,161,0,Y
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
5,2009,161,0,N
1,2007,138,0,Y
1,2007,138,0,Y
1,2007,138,0,Y
1,2007,138,0,Y
1,2007,138,0,Y
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
1,2007,138,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
8,2005,230,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
12,2009,267,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
6,2008,204,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
9,2008,203,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
2,2006,191,0,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,N
3,2009,164,2,N
3,2009,164,2,N
3,2009,164,2,N
3,2009,164,2,N
3,2009,164,2,N
4,2009,162,2,Y
4,2009,162,2,Y
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,N
5,2009,161,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
10,2008,198,2,Y
10,2008,198,2,Y
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,N
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,N
2,2006,191,2,N
2,2006,191,2,N
2,2006,191,2,N
2,2006,191,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
4,2009,162,2,Y
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
8,2005,230,2,Y
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,N
2,2006,191,2,N
2,2006,191,2,N
2,2006,191,2,N
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,N
3,2009,164,2,N
3,2009,164,2,N
3,2009,164,2,N
3,2009,164,2,N
6,2008,204,2,Y
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
10,2008,198,2,Y
10,2008,198,2,Y
10,2008,198,2,Y
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,Y
5,2009,161,2,N
5,2009,161,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
8,2005,230,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
12,2009,267,2,N
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,Y
3,2009,164,2,N
3,2009,164,2,N
3,2009,164,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
7,2008,204,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
10,2008,198,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
6,2008,204,2,N
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
1,2007,138,2,Y
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
11,2008,202,2,N
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,Y
2,2006,191,2,N
2,2006,191,2,N
2,2006,191,2,N
2,2006,191,2,N
2,2006,191,2,N
4,2009,162,2,Y
4,2009,162,2,Y
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
4,2009,162,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
9,2008,203,2,N
7,2008,204,4,Y
7,2008,204,4,N
7,2008,204,4,N
7,2008,204,4,N
7,2008,204,4,N
7,2008,204,4,N
7,2008,204,4,N
7,2008,204,4,N
7,2008,204,4,N
7,2008,204,4,N
10,2008,198,4,N
10,2008,198,4,N
10,2008,198,4,N
10,2008,198,4,N
10,2008,198,4,N
10,2008,198,4,N
10,2008,198,4,N
10,2008,198,4,N
10,2008,198,4,N
10,2008,198,4,N
1,2007,138,4,Y
1,2007,138,4,Y
1,2007,138,4,Y
1,2007,138,4,Y
1,2007,138,4,Y
1,2007,138,4,Y
1,2007,138,4,Y
1,2007,138,4,Y
1,2007,138,4,N
1,2007,138,4,N
3,2009,164,4,Y
3,2009,164,4,Y
3,2009,164,4,Y
3,2009,164,4,Y
3,2009,164,4,Y
3,2009,164,4,Y
3,2009,164,4,Y
3,2009,164,4,Y
3,2009,164,4,Y
3,2009,164,4,Y
11,2008,202,4,Y
11,2008,202,4,Y
11,2008,202,4,Y
11,2008,202,4,Y
11,2008,202,4,N
11,2008,202,4,N
11,2008,202,4,N
11,2008,202,4,N
11,2008,202,4,N
11,2008,202,4,N
2,2006,191,4,Y
2,2006,191,4,Y
2,2006,191,4,Y
2,2006,191,4,Y
2,2006,191,4,Y
2,2006,191,4,Y
2,2006,191,4,Y
2,2006,191,4,Y
2,2006,191,4,N
2,2006,191,4,N
12,2009,267,4,N
12,2009,267,4,N
12,2009,267,4,N
12,2009,267,4,N
12,2009,267,4,N
12,2009,267,4,N
12,2009,267,4,N
12,2009,267,4,N
12,2009,267,4,N
12,2009,267,4,N
4,2009,162,4,Y
4,2009,162,4,Y
4,2009,162,4,Y
4,2009,162,4,Y
4,2009,162,4,Y
4,2009,162,4,Y
4,2009,162,4,N
4,2009,162,4,N
4,2009,162,4,N
4,2009,162,4,N
9,2008,203,4,N
9,2008,203,4,N
9,2008,203,4,N
9,2008,203,4,N
9,2008,203,4,N
9,2008,203,4,N
9,2008,203,4,N
9,2008,203,4,N
9,2008,203,4,N
9,2008,203,4,N
5,2009,161,4,Y
5,2009,161,4,Y
5,2009,161,4,Y
5,2009,161,4,Y
5,2009,161,4,Y
5,2009,161,4,N
5,2009,161,4,N
5,2009,161,4,N
5,2009,161,4,N
5,2009,161,4,N
8,2005,230,4,Y
8,2005,230,4,Y
8,2005,230,4,N
8,2005,230,4,N
8,2005,230,4,N
8,2005,230,4,N
8,2005,230,4,N
8,2005,230,4,N
8,2005,230,4,N
8,2005,230,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
6,2008,204,4,N
10,2008,198,4,Y
10,2008,198,4,N
10,2008,198,4,N
